cod_mod,Nombre,gestion,dsc_nivel,Edad,TotalEstudiantes,Mujer,Hombre,Peruanos,Venezolanos,Extranjeros,TipoDiscaIntegrada,Aprobado,Desaprobado,Retirado,Matriculado
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,6,2,0,2,2,0,0,Ninguna,2,0,0,0
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,7,3,1,2,3,0,0,Ninguna,2,1,0,0
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,8,2,1,1,2,0,0,Ninguna,2,0,0,0
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,9,2,1,1,2,0,0,Ninguna,2,0,0,0
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,10,4,3,1,4,0,0,Ninguna,4,0,0,0
215004,30566 ALEJANDRO RUFINO ESPINOZA LEON,Pública de gestión directa,Primaria,11,2,1,1,2,0,0,Ninguna,2,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,6,22,11,11,22,0,0,Ninguna,22,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,7,13,8,5,13,0,0,Ninguna,13,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,7,1,1,0,1,0,0,Intelectual_Moderado,1,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,8,9,4,5,9,0,0,Ninguna,9,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,9,20,9,11,20,0,0,Ninguna,20,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,10,12,5,7,12,0,0,Ninguna,10,2,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,11,15,6,9,15,0,0,Ninguna,15,0,0,0
215012,30533 JOSE CELESTINO HUATUCO DAVILA,Pública de gestión directa,Primaria,11,1,0,1,1,0,0,Intelectual,1,0,0,0
