cod_mod,anexo,codlocal,cen_edu,dir_cen,niv_mod,nivel,nivel2,nivel3,ges_dep,gestion,codgeo,codooii,area_censo,area,region,dpto,prov,dist,dre_ugel,region_e,Docentes_hombres,Docentes_mujeres,Docentes_nombrados,Docentes_contratados,Docentes_25_menos_años,Docentes_2635_años,Docentes_3645_años,Docentes_4655_años,Docentes_5665_años,Docentes_66_a_mas_años,Docentes_con_titulo,Docentes_sin_titulo,Docentes_total
376400,0,230044,339 ESTELITA,AVENIDA CIRCUNVALACION S/N,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,5,4,1,0,2,0,3,0,0,5,0,5
382929,0,230001,203 MARIA AUXILIADORA,JIRON ARICA 225,A2,1.Inicial,1.Inicial,BASICA,A4,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,9,5,4,0,2,4,3,0,0,9,0,9
624346,0,230015,237,CALLE LAS VIOLETAS S/N,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,6,5,1,0,0,0,4,2,0,6,0,6
624353,0,230039,244,CALLE LAS TANGERINAS S/N,A3,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,8,5,3,0,0,4,2,2,0,8,0,8
936021,0,230020,240,SAN CARLOS,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,4,4,0,0,2,0,2,0,0,4,0,4
1319854,0,542328,903,LA ESPERANZA S/N,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,3,2,1,0,0,1,2,0,0,3,0,3
1546985,0,231114,30879,CARRETERA MARIGINAL KM 14,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,2,2.Rural,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,1,1,0,0,0,1,0,0,0,1,0,1
1547215,0,629963,MERATSE,ALTO YURINAKI S/N,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,2,2.Rural,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,2,0,2,0,0,2,0,0,0,0,2,2
1662725,0,230138,30754 VIRGEN DEL CARMEN,AVENIDA OSWALDO MAYOR S/N,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,1,1.Urbana,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,5,5,0,0,0,3,2,0,0,5,0,5
1679109,0,763230,1405,PARQUE MIRAFLORES PAMPA WHALEY,A2,1.Inicial,1.Inicial,BASICA,A1,1.Pública,120301,120004,2,2.Rural,1200,JUNIN,CHANCHAMAYO,CHANCHAMAYO,UGEL CHANCHAMAYO,DRE JUNIN,0,1,0,1,0,0,0,1,0,0,1,0,1
