ugel;distrito;provincia;departamento;Nivel/ Modalidad;nª _II.EE;total_alumnos;cant_alumn_hombres;cant_alumn_mujeres;num_secciones;num_docentes;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Básica Alternativa-Avanzado;11;953;517;436;66;71;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;FRANKLIN DELANO ROOSEVELT;1;20;9;11;4;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ISAAC NEWTON;1;56;30;26;3;8;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JOAQUIN CAPELO;1;99;42;57;8;8;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MANUEL GONZALES PRADA;1;75;75;0;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MIGUEL GRAU SEMINARIO;1;16;8;8;4;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PEDRO RUIZ GALLO;1;156;140;16;8;6;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PERENE;1;128;44;84;9;12;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN IGNACIO DE LOYOLA;1;9;5;4;2;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN MARTIN DE PORRES;1;112;50;62;8;8;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN RAMON;1;147;55;92;9;7;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SELVA CENTRAL;1;135;59;76;9;9;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Básica Alternativa-Inicial e Intermedio;8;183;91;92;13;36;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;FRANKLIN DELANO ROOSEVELT;1;24;12;12;3;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ISAAC NEWTON;1;15;5;10;1;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JOAQUIN CAPELO;1;18;8;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MANUEL GONZALES PRADA;1;42;38;4;2;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PERENE;1;25;8;17;2;7;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN IGNACIO DE LOYOLA;1;24;12;12;1;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN RAMON;1;13;2;11;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SELVA CENTRAL;1;22;6;16;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Básica Especial;2;95;53;42;7;9;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PRITE SAN FRANCISCO DE ASIS;1;45;27;18;3;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PRITE SAN RAMON;1;50;26;24;4;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Básica Especial-Inicial;2;18;11;7;2;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MADRE FRANCISCA PASCUAL;1;9;6;3;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN MANUELITO;1;9;5;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Básica Especial-Primaria;2;40;23;17;11;11;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MADRE FRANCISCA PASCUAL;1;15;7;8;4;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN MANUELITO;1;25;16;9;7;6;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Inicial - Cuna-jardín;6;380;197;183;24;25;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;244;1;194;105;89;8;8;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ARCANGEL SAN RAFAEL;1;47;25;22;5;4;
